name_match,name_steam,developer_steam,publisher_steam,price_steam,initialprice_steam,discount_steam,ccu,positive,owners_midpoint,approval_rate_steam,average_2weeks,name_gog,developer_gog,publisher_gog,price_gog,initialprice_gog,discount_gog,approval_rate_gog,name_epic,developer_epic,publisher_epic,price_epic,initialprice_epic,discount_epic,approval_rate_epic
ghost recon breakpoint,,,,,,,,,,,,,,,,,,,Ghost Recon Breakpoint Standard Edition,Ubisoft Entertainment,Unknown,179.0,179.0,0.0,
god of war,,,,,,,,,,,,,,,,,,,God of War,Sony Interactive Entertainment,PlayStation Publishing LLC,199.9,199.9,0.0,
god of war ragnark,,,,,,,,,,,,,,,,,,,God of War Ragnarök,"Santa Monica Studio, Jetpack Interactive",PlayStation Publishing LLC,249.9,249.9,0.0,
gothic,,,,,,,,,,,,Gothic,Piranha Bytes,THQ Nordic GmbH,59.99,59.99,0.0,92.0,,,,,,,
gothic 2,,,,,,,,,,,,Gothic 2 Gold Edition,Piranha Bytes,THQ Nordic GmbH,59.99,59.99,0.0,92.0,,,,,,,
grand theft auto iv,Grand Theft Auto IV: Complete Edition,"Rockstar North, Rockstar Toronto",Rockstar Games,79.0,79.0,0.0,0.0,144570.0,35000000.0,82.48,0.0,,,,,,,,,,,,,,
grand theft auto the trilogy the,,,,,,,,,,,,,,,,,,,Grand Theft Auto: The Trilogy – The Definitive Edition,Rockstar Games  ,Rockstar Games  ,299.9,299.9,0.0,
grand theft auto v,,,,,,,,,,,,,,,,,,,Grand Theft Auto V Enhanced,Rockstar North,Rockstar Games  ,149.9,149.9,0.0,
grand theft auto v legacy,Grand Theft Auto V Legacy,Rockstar North,Rockstar Games,0.0,0.0,0.0,67851.0,1739980.0,75000000.0,87.41,975.0,,,,,,,,,,,,,,
grim dawn,Grim Dawn,Crate Entertainment,Crate Entertainment,73.99,73.99,0.0,2376.0,93489.0,15000000.0,93.74,832.0,,,,,,,,,,,,,,
half sword,,,,,,,,,,,,,,,,,,,Half Sword,Half Sword Games,Games Seer Publishing,73.99,73.99,0.0,
halflife,Half-Life,Valve,Valve,20.69,20.69,0.0,634.0,143086.0,15000000.0,96.54,87.0,,,,,,,,,,,,,,
halflife 2,Half-Life 2,Valve,Valve,32.99,32.99,0.0,1555.0,239721.0,15000000.0,97.6,194.0,,,,,,,,,,,,,,
halflife 2 deathmatch,Half-Life 2: Deathmatch,Valve,Valve,19.99,19.99,0.0,159.0,12962.0,15000000.0,90.67,35.0,,,,,,,,,,,,,,
halflife 2 lost coast,Half-Life 2: Lost Coast,Valve,Valve,32.99,32.99,0.0,2.0,12215.0,35000000.0,89.25,0.0,,,,,,,,,,,,,,
halo infinite,Halo Infinite,343 Industries,Xbox Game Studios,0.0,0.0,0.0,2275.0,123333.0,15000000.0,69.66,115.0,,,,,,,,,,,,,,
helldivers 2,HELLDIVERS 2,Arrowhead Game Studios,PlayStation Publishing LLC,199.5,199.5,0.0,53399.0,775883.0,35000000.0,76.24,537.0,,,,,,,,,,,,,,
heroes chronicles all chapters,,,,,,,,,,,,Heroes Chronicles: All Chapters,"New World Computing, Inc.",Ubisoft,10.0,19.99,50.0,90.0,,,,,,,
heroes generals,Heroes & Generals,TLM Partners,TLM Partners,0.0,0.0,0.0,0.0,96499.0,15000000.0,67.59,1.0,,,,,,,,,,,,,,
heroes of might and magic,,,,,,,,,,,,Heroes of Might and Magic®,"New World Computing, Inc.",Ubisoft,10.0,19.99,50.0,86.0,,,,,,,
heroes of might and magic 2,,,,,,,,,,,,Heroes of Might and Magic® 2: Gold,"New World Computing, Inc.",Ubisoft,10.0,19.99,50.0,96.0,,,,,,,
heroes of might and magic 3,,,,,,,,,,,,Heroes of Might and Magic® 3: Complete,"New World Computing, Inc.",Ubisoft,10.0,19.99,50.0,96.0,,,,,,,
heroes of might and magic 4,,,,,,,,,,,,Heroes of Might and Magic® 4: Complete,"New World Computing, Inc.",Ubisoft,10.0,19.99,50.0,86.0,,,,,,,
heroes of might and magic 5,,,,,,,,,,,,Heroes of Might and Magic® 5: Bundle,Nival Interactive ,Ubisoft,5.0,19.99,75.0,86.0,,,,,,,
high on life 2,,,,,,,,,,,,,,,,,,,High On Life 2,Squanch Games,Squanch Games,161.99,161.99,0.0,
hitman world of assassination,,,,,,,,,,,,,,,,,,,HITMAN World of Assassination,IO Interactive,Unknown,189.99,189.99,0.0,
hogwarts legacy,Hogwarts Legacy,Avalanche Software,Warner Bros. Games,249.99,249.99,0.0,5716.0,289966.0,35000000.0,90.22,262.0,,,,,,,,Hogwarts Legacy,Avalanche Software,Warner Bros. Games,249.99,249.99,0.0,
homeworld collection,,,,,,,,,,,,Homeworld® Remastered Collection,Gearbox Software,Gearbox Software,63.99,63.99,0.0,86.0,,,,,,,
